Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	-0.15994772	1.3054122	2.031973	-2.3745193	28.366667	64.09445	267.0	0.0	1000.0	851.0	0.028366666666666665	0.20326534	0.25999606	1.37309	-0.6062096	-1.2327092	0.29722917	0.34889436	-1.7371874	-1.4901161e-08	0.03232184	-5.6624412e-08	0.0153814405	0.14905308	-0.1074931	125.33705	-25.562458	0	0	1.0	1.8378769	0.049446885	30000	19.419708728790283
1	-0.30339292	1.4695712	3.6838481	-2.181054	53.266666	69.08349	289.0	0.0	1000.0	2449.0	0.04081666666666667	0.005709655	0.07224517	0.4047597	-0.21732743	2.4266524	2.4708543	8.753591	-3.1193922	-5.9604646e-09	0.064066544	0.0	-0.0010494888	0.0490156	-0.0065186843	135.918	-14.195622	0	0	1.0	1.8389416	0.09829287	60000	37.159305810928345
2	0.3172105	1.2064512	2.7495937	-1.7973058	39.433334	69.45247	258.0	0.0	1000.0	3632.0	0.040355555555555554	-0.027469022	0.05793643	0.26565117	-0.23285407	6.747612	3.5760512	17.693016	-0.52609247	2.9802323e-09	-0.009858841	1.1920929e-08	0.003912489	0.05521472	-0.015272392	120.90249	-8.542826	0	0	79.0	1.8395561	0.006992503	90000	59.50019812583923
3	2.0170908	1.2964327	4.851967	-0.37027302	88.63333	83.505486	271.0	0.0	1000.0	6291.0	0.052425	0.05702133	0.096707776	0.40122342	-0.26120144	4.99068	3.0046124	15.500617	-1.3465552	-5.9604646e-09	-0.010872942	-7.152558e-08	-0.0030266796	0.10388205	-0.032866232	290.53873	-29.848822	0	0	79.0	1.8288711	0.0077769547	120000	81.74743866920471
4	4.3363595	1.5998341	7.426347	0.93548846	73.3	112.23284	382.0	0.0	1000.0	8490.0	0.0566	0.21143818	0.12627546	0.6344875	-0.21786287	9.743816	5.2627344	23.787848	-1.7055963	1.4901161e-08	-0.010732967	-4.7683717e-08	-0.004362008	0.12955824	-0.0654815	203.60101	-25.275372	0	0	79.0	1.8009535	0.006471926	150000	104.033851146698
5	5.8235373	1.7545304	8.665059	0.050424512	62.033333	88.27778	431.0	0.0	1000.0	10351.0	0.05750555555555555	0.4087451	0.2284646	1.0268859	-0.21402681	8.977853	7.505527	38.5261	-0.29009023	6.7055224e-09	0.0001426111	1.1920929e-07	-0.0049763517	0.10031416	-0.038205933	175.68607	-30.986683	0	0	3.0	1.7796204	0.009395132	180000	122.14552211761475
6	6.71023	1.6148906	10.836791	3.8879423	67.13333	56.547756	182.0	0.0	1000.0	12365.0	0.05888095238095238	0.6035641	0.25178248	1.2559649	-0.1590636	6.860894	3.7731836	34.50157	-2.4655511	-2.9802323e-09	0.004741913	9.536743e-08	0.001710102	0.06868581	-0.012990731	137.59389	-9.106327	0	0	1.0	1.7784111	0.013515649	210000	140.05414485931396
7	7.5369587	1.7004613	10.765584	3.455737	70.566666	64.32143	262.0	0.0	1000.0	14482.0	0.06034166666666667	0.72873634	0.28530544	1.4777602	-0.117352255	7.0669336	2.6564841	32.499016	0.9214161	1.1175871e-09	-0.0022634943	3.576279e-08	-0.002573295	0.05960254	-0.0055869287	154.75562	-8.062253	0	0	1.0	1.7777961	0.0027900897	240000	157.92066502571106
8	7.352481	2.2596548	11.352309	0.12568049	79.76667	67.3576	255.0	0.0	1000.0	16875.0	0.0625	0.69494295	0.32813826	1.4718738	-0.21944392	7.9045167	2.4112866	22.342146	-1.401019	1.6763806e-08	-0.0021225486	5.9604646e-09	-0.0017624318	0.07012497	-0.010431027	149.82336	-17.586376	0	0	1.0	1.7772385	0.005032257	270000	176.00457620620728
9	8.39495	1.6528919	11.4652605	5.160476	60.3	60.139366	188.0	0.0	1000.0	18684.0	0.06228	0.7966862	0.27600047	1.509058	-0.18402843	7.2748456	4.509567	39.430424	-3.5161867	8.940697e-09	-0.0036695388	-4.7683717e-08	0.001883459	0.05571025	-0.008272107	118.050514	-19.928486	0	0	1.0	1.7769613	0.0013712083	300000	194.36464977264404
10	8.548532	1.7964252	11.187815	4.5229044	95.13333	74.40373	288.0	0.0	1000.0	21538.0	0.06526666666666667	0.8266092	0.3214994	1.6842163	-0.19977212	7.2663593	4.679939	34.896393	-4.7189493	5.9604646e-09	-0.004123989	-2.1457672e-07	-0.0030933619	0.061486296	-0.007830011	187.02664	-34.17751	0	0	1.0	1.7767674	0.004512039	330000	212.3881459236145
11	9.854018	1.6129346	13.105725	6.9657745	47.5	48.363037	148.0	0.0	1000.0	22963.0	0.06378611111111111	0.9389997	0.30487746	1.8249974	0.027231857	7.7953744	5.2136707	35.931828	-5.2907157	0.0	-0.0043696696	-2.3841858e-08	0.0040838583	0.0633072	-0.009928178	108.982956	-19.659063	0	0	1.0	1.7764409	0.0027326294	360000	230.7349226474762
12	10.395397	2.2297063	15.601063	6.73275	62.533333	59.491028	252.0	0.0	1000.0	24839.0	0.0636897435897436	0.99488944	0.327586	1.8606137	0.057262618	6.596061	4.435393	34.858887	-2.5246725	-5.9604646e-09	-0.0049993	-2.9802322e-08	-0.0037351132	0.06536327	-0.0096005	101.904564	-14.190326	0	0	1.0	1.7759384	0.0032596947	390000	248.75702548027039
13	10.741591	1.9969027	13.789518	7.2459826	72.0	65.29114	217.0	0.0	1000.0	26999.0	0.06428333333333333	1.055889	0.3449809	1.9565897	0.1418864	6.3435616	3.6444268	31.318804	-1.4945354	2.9802323e-09	-0.004623835	2.3841858e-08	-0.002217479	0.07055839	-0.00926183	121.78624	-19.686996	0	0	1.0	1.7751659	0.0025951904	420000	266.63710141181946
14	11.369306	1.8690968	15.8074	6.7026725	74.166664	69.77969	315.0	0.0	1000.0	29224.0	0.06494222222222222	1.0910004	0.34193558	2.0396605	0.07065492	8.755812	5.3005986	41.698547	-1.828014	5.9604646e-09	-0.003369291	9.536743e-08	0.001109913	0.06357042	-0.00933638	102.201035	-21.529045	0	0	1.0	1.7741417	0.003766106	450000	284.7679252624512
