Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	-0.15994772	1.3054122	2.031973	-2.3745193	28.366667	64.09445	267.0	0.0	1000.0	851.0	0.028366666666666665	0.20326534	0.25999606	1.37309	-0.6062096	-1.2327092	0.29722917	0.34889436	-1.7371874	-3.3713878e-08	0.016103545	-5.6624412e-08	-0.034320224	0.14905308	-0.1074931	125.33705	-25.562458	1.0	0.03204012	1.0	1.8378769	0.087186076	30000	20.791213512420654
1	-0.58682525	1.3109928	2.7115622	-2.995463	37.133335	76.173805	347.0	0.0	1000.0	1965.0	0.03275	-0.0079601435	0.07057935	0.34317717	-0.21193644	2.2868752	2.4067369	9.158254	-3.1971498	2.3841858e-08	0.008880341	0.0	-0.00043895244	0.043562658	-0.010653199	136.29489	-14.371844	1.0320401	0.029301643	1.0	1.8379059	0.03081884	60000	39.09897971153259
2	-0.2516792	1.1053674	2.2891283	-2.3252146	22.9	47.41895	190.0	0.0	1000.0	2652.0	0.029466666666666665	-0.05682386	0.08913401	0.25800216	-0.36362982	4.383671	3.258857	12.346161	-2.3891122	0.0	-1.22275205e-05	-1.1920929e-08	-0.0034451461	0.038112868	-0.004078869	70.16783	-8.170624	1.0613418	0.01918888	1.0	1.8379452	0.009937595	90000	57.7042818069458
3	-0.046173703	1.1858995	3.01703	-2.380028	25.133333	63.089214	232.0	0.0	1000.0	3406.0	0.028383333333333333	-0.04265858	0.07324889	0.28152275	-0.28869995	2.1367788	2.0012345	9.737474	-2.5959132	2.5331975e-08	-0.0005765624	5.9604645e-08	-0.00404282	0.03827495	-0.0042496365	80.98407	-21.879433	1.0805306	0.016057968	1.0	1.8379036	0.010501462	120000	76.72406315803528
4	-0.28591004	1.2152332	2.4425657	-2.0572097	32.4	52.873814	195.0	0.0	1000.0	4378.0	0.029186666666666666	0.00066542614	0.108743876	0.3743326	-0.3227262	3.5924404	6.3629675	23.526714	-2.838658	-5.9604645e-08	-0.0020291798	-9.536743e-08	-0.021356449	0.03594783	-0.0040454557	119.82102	-30.472937	1.0965886	0.021093369	2.0	1.8379166	0.02954576	150000	96.48452138900757
5	-0.011026907	1.503548	3.7932453	-2.4728253	25.5	52.90479	255.0	0.0	1000.0	5143.0	0.02857222222222222	-0.05791216	0.09834511	0.250797	-0.38479915	3.5909274	2.0437603	8.788211	-0.6178781	-2.0861625e-08	-0.0017635174	-3.576279e-08	-0.009535852	0.04581129	-0.008935607	67.8399	-12.706943	1.117682	0.018993974	3.0	1.8382765	0.015179661	180000	115.22805905342102
6	-0.14628175	1.1884146	2.3375025	-1.9378717	28.8	57.738724	225.0	0.0	1000.0	6007.0	0.028604761904761904	-0.0012677871	0.13936284	0.45808348	-0.34447333	2.49	2.4092727	26.223278	-0.8455024	2.9802323e-09	-0.011271138	0.0	-0.018846877	0.030750845	-0.0028487984	78.513466	-9.294638	1.1366761	0.021009922	18.0	1.8388478	0.013583086	210000	134.24517607688904
7	2.2741017	1.8935697	5.4301944	-1.9581143	40.3	52.184383	160.0	0.0	1000.0	7216.0	0.030066666666666665	0.023390504	0.14058125	0.4797217	-0.34733996	3.6450741	3.5702221	28.623821	-0.93166155	3.576279e-08	-0.005435303	4.7683717e-08	-0.015252429	0.107711755	-0.05367122	102.99736	-15.273814	1.1576859	0.025012136	2.0	1.837938	0.01539198	240000	152.68661904335022
8	2.4292023	1.4686006	5.4770374	-0.33126396	62.566666	78.637	257.0	0.0	1000.0	9093.0	0.03367777777777778	0.23453692	0.1933606	0.911307	-0.3504058	3.882062	2.97834	23.711258	-1.1659733	-6.556511e-08	-0.002896078	-1.1920929e-07	-0.013157392	0.051341068	-0.006370722	185.64117	-29.348438	1.182698	0.026022077	2.0	1.837595	0.01646978	270000	171.24976229667664
9	2.8374693	1.8682809	6.1535163	-0.92808676	33.033333	42.109764	123.0	0.0	1000.0	10084.0	0.033613333333333335	0.27957496	0.17537153	0.9073286	-0.21589455	6.0418468	3.7880511	34.49044	-1.9068024	7.450581e-09	-0.0055033835	1.3411045e-08	-0.022599459	0.059146654	-0.013441622	82.40694	-15.873404	1.20872	0.026230454	2.0	1.8371799	0.031944614	300000	189.47909474372864
10	3.040474	1.6264585	6.6554446	-0.6286331	61.166668	67.08854	189.0	0.0	1000.0	11919.0	0.03611818181818182	0.31918478	0.25000602	1.1968526	-0.5000906	3.7820652	2.918659	32.42412	-0.9385703	8.940697e-09	-0.0033293418	2.3841858e-08	-0.021331891	0.0586298	-0.017671367	169.92831	-24.924904	1.2349505	0.029343486	2.0	1.8367344	0.03129825	330000	209.03366112709045
11	2.4928937	2.0294228	6.607004	-0.5920812	12.633333	41.051582	210.0	0.0	1000.0	12298.0	0.034161111111111114	0.24153082	0.29658538	1.1766114	-0.51488906	4.703505	4.0634255	25.68367	-2.62405	-4.4703484e-08	-0.0026035428	-7.152558e-08	-0.018189495	0.052987017	-0.010700348	73.90484	-25.019112	1.264294	0.022387028	2.0	1.8360523	0.028823275	360000	227.62419271469116
12	1.9525362	1.8560337	5.5221486	-1.2616807	14.2	33.126423	132.0	0.0	1000.0	12724.0	0.03262564102564103	0.23893592	0.25809482	1.1956301	-0.47938657	1.6080537	2.5874496	22.374151	-0.42812482	-1.7881394e-08	-0.010146492	-2.3841858e-08	-0.024606485	0.04435052	-0.009291356	35.84542	-4.0408216	1.2866809	0.01734817	12.0	1.8354177	0.01411176	390000	246.78731966018677
13	1.1212504	1.5984341	4.0407233	-1.3849131	8.533334	32.802166	172.0	0.0	1000.0	12980.0	0.030904761904761904	0.13354824	0.28222394	1.0976717	-0.46212262	0.67787176	0.97872335	15.762209	-1.2238649	8.940697e-09	-0.006537535	-1.1920929e-08	-0.008478338	0.043047294	-0.015073126	35.136623	-4.3842173	1.3040292	0.010619998	18.0	1.8358853	0.01139546	420000	266.72314047813416
14	2.202373	2.6583664	7.071833	-2.168391	25.6	43.65822	142.0	0.0	1000.0	13748.0	0.030551111111111112	0.1339523	0.26972106	1.1526959	-0.41515115	1.6683	3.1586905	24.29073	-0.91274345	2.9802322e-08	-0.0025388293	5.9604645e-08	-0.0028734864	0.04673584	-0.019370511	79.23208	-21.628536	1.3146492	0.009196401	2.0	1.8370695	0.002448494	450000	286.30712699890137
15	3.1640625	2.881602	10.7912855	-1.2606691	20.933332	39.90316	147.0	0.0	1000.0	14376.0	0.02995	0.27366364	0.34959856	1.337766	-0.42152858	2.6741817	3.6574073	30.086622	-1.4433966	1.4901161e-08	-0.0037593693	2.3841858e-08	-0.0072268574	0.053098332	-0.008139215	52.89625	-10.3491535	1.3238456	0.007204056	4.0	1.8365581	0.008766142	480000	305.4027650356293
16	3.7521172	2.5042229	7.610966	-1.5662602	13.2	22.614744	88.0	0.0	1000.0	14772.0	0.02896470588235294	0.34593758	0.38307273	1.5588918	-0.46453565	2.4682105	2.1410215	21.333656	-0.34874648	2.3841858e-08	-0.010817947	3.576279e-08	-0.018265475	0.040864132	-0.0075267763	24.634014	-5.3727913	1.3310497	0.0033358335	18.0	1.8351234	0.013398851	510000	325.8493399620056
17	5.6022344	2.6380062	9.44943	-0.07886135	28.133333	39.84197	114.0	0.0	1000.0	15616.0	0.028918518518518517	0.4591616	0.3605034	1.4190588	-0.34219685	2.1463022	3.806278	35.913548	-0.469563	-1.7881394e-08	-0.0023161196	-4.172325e-08	-0.0045391405	0.053956717	-0.016015599	54.080627	-9.208593	1.3343855	0.0036723614	2.0	1.8248966	0.005468284	540000	345.513845205307
18	5.628625	2.7884336	10.381639	-0.35120386	20.933332	37.23075	173.0	0.0	1000.0	16244.0	0.02849824561403509	0.5134326	0.40631983	1.5060152	-0.3295671	2.4785976	2.5985174	28.09608	-0.281724	1.1920929e-08	-0.010819214	1.1920929e-08	-0.016459588	0.050640196	-0.008914477	41.88192	-9.283358	1.3380579	0.0025224686	13.0	1.8231564	0.011709369	570000	364.56307005882263
19	6.864194	3.1965315	12.182649	0.54264396	20.566668	31.19475	117.0	0.0	1000.0	16861.0	0.028101666666666667	0.5610966	0.4528773	1.6836882	-0.43859693	1.7946461	2.4071107	30.262167	-2.0262973	2.0861625e-08	-0.009678868	2.9802322e-08	-0.017300637	0.062144727	-0.015734896	34.800663	-5.061309	1.3405803	0.0013157129	16.0	1.8163303	0.012699557	600000	383.7457265853882
20	6.4147415	3.4922779	12.18844	-1.3098543	36.866665	54.14347	187.0	0.0	1000.0	17967.0	0.028519047619047617	0.55625254	0.5028649	1.7241826	-0.4218062	2.3422117	2.8824663	23.005468	-3.3658216	0.0	-0.0030445114	-1.1920929e-08	-0.009041418	0.058130015	-0.009488065	62.66416	-16.269367	1.341896	0.004194021	2.0	1.8072246	0.00838874	630000	402.2641818523407
21	6.7270975	3.2178204	12.491642	-1.0598134	29.966667	34.50747	108.0	0.0	1000.0	18866.0	0.028584848484848484	0.67768586	0.47437558	1.7441957	-0.34836966	3.341858	4.493749	27.698944	-3.976108	1.1920929e-08	-0.013305441	2.3841858e-08	-0.033091288	0.065007284	-0.013891095	44.03898	-12.868854	1.3460901	0.006070018	10.0	1.8060296	0.016382832	660000	421.3175950050354
