Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	-0.15732211	1.5150688	4.835765	-3.0132577	89.21667	72.05301	304.0	0.0	1000.0	5353.0	0.08921666666666667	-0.6296529	0.6390394	2.8155513	-2.6891112	0.3617451	0.81097734	3.0927591	-2.9541957	5.938212e-08	-0.05848349	9.765625e-08	-0.1937422	0.8287401	-0.73022765	238.65845	-94.09776	1.0	0.032031298	1.0	11.027262	0.13039044	60000	239.7479691505432
1	-0.2452777	1.1509931	2.7190526	-2.8695934	85.1	84.879265	328.0	0.0	1000.0	10459.0	0.08715833333333334	-0.050479077	0.1826264	0.8157849	-0.86413383	7.5002127	5.1430063	20.28233	-7.697162	-1.1462376e-08	-0.03770616	-2.8483074e-08	-0.11634817	0.08360519	-0.016220152	140.55487	-23.49405	1.0320313	0.03263724	1.0	11.026779	0.067527324	120000	477.8019871711731
2	-0.29232886	1.193369	2.8818944	-2.8861365	105.316666	93.258865	383.0	0.0	1000.0	16778.0	0.0932111111111111	-0.023075849	0.14140497	0.6237619	-0.7159378	9.534526	7.048693	27.861948	-9.37847	-5.4367435e-09	-0.03737534	-1.6276042e-08	-0.1074326	0.069611646	-0.00838716	210.69904	-36.54338	1.0646685	0.03327608	1.0	11.025082	0.05893578	180000	716.8506462574005
3	0.08669433	1.3854959	3.3764758	-3.1942902	80.833336	80.85587	315.0	0.0	1000.0	21628.0	0.09011666666666666	-0.009495631	0.16460444	0.67573583	-0.7509414	9.950422	5.7398057	35.20758	-9.16031	6.826484e-08	-0.025640393	1.3020833e-07	-0.07573121	0.070442826	-0.0078559145	147.68642	-29.565628	1.0979446	0.03342688	1.0	11.024399	0.044289313	240000	956.1922447681427
4	-0.2584001	1.1960859	3.1541536	-3.3319855	75.36667	59.14952	232.0	0.0	1000.0	26150.0	0.08716666666666667	0.0056053335	0.17514959	0.8321427	-0.576415	8.084864	6.2275496	39.399475	-7.4883847	-3.789943e-08	-0.03221053	-6.510417e-08	-0.09556326	0.057268694	-0.008201897	108.36272	-25.070183	1.1313715	0.03360927	2.0	11.023952	0.057481106	300000	1195.1918454170227
5	-0.07467614	1.2184935	5.2732053	-2.128199	65.21667	71.598206	320.0	0.0	1000.0	30063.0	0.08350833333333334	-0.028500965	0.14853227	0.6759459	-0.5252773	7.0363703	5.812582	41.366188	-10.323955	5.2464383e-08	-0.03283932	1.0579427e-07	-0.10486698	0.055634104	-0.008535974	108.68128	-21.468018	1.1649808	0.033325434	2.0	11.023939	0.077650815	360000	1433.7025785446167
6	-0.128858	1.0457503	2.0662541	-3.3207994	73.28333	84.61464	513.0	0.0	1000.0	34460.0	0.08204761904761905	-0.006565004	0.14989513	0.5521218	-0.5476635	6.463049	5.427264	45.540924	-9.669408	6.4705756e-09	-0.026479477	1.0172526e-08	-0.080432266	0.057108585	-0.0066973865	113.92918	-33.719154	1.1983062	0.033689618	2.0	11.025705	0.060343254	420000	1673.6318652629852
7	-0.025660338	0.99860877	3.3930113	-1.8434511	89.23333	92.50682	355.0	0.0	1000.0	39814.0	0.08294583333333333	-0.021013167	0.14401308	0.49276093	-0.5348025	8.575178	7.5637655	52.132904	-9.660395	-5.3447607e-08	-0.05193951	-9.765625e-08	-0.13385046	0.054172255	-0.007256802	197.13156	-47.376266	1.2319958	0.03468263	2.0	11.026751	0.074079104	480000	1911.839879989624
8	-0.18655825	1.0960488	3.3175807	-2.5989852	80.85	77.821556	276.0	0.0	1000.0	44665.0	0.08271296296296296	0.0047104238	0.11832201	0.47176728	-0.42834854	8.408899	7.1705637	52.269344	-16.418705	9.319866e-09	-0.043927062	1.6276042e-08	-0.11934445	0.04986883	-0.007070262	146.52208	-32.29167	1.2666785	0.035292864	2.0	11.025621	0.075332314	540000	2150.0210707187653
9	-0.20787351	1.0470719	3.0964804	-2.8825426	60.266666	63.464127	233.0	0.0	1000.0	48281.0	0.08046833333333334	-0.038422387	0.14077292	0.4722676	-0.55878466	7.347098	6.310748	53.96151	-8.501604	-2.3713982e-08	-0.036732554	-3.2552084e-08	-0.10630435	0.049848806	-0.006148644	111.53219	-31.423454	1.3019713	0.034840703	2.0	11.023901	0.080145374	600000	2388.474503517151
