Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	-0.43572694	1.5694296	4.387781	-4.4362874	43.966667	68.34982	292.0	0.0	1000.0	2638.0	0.04396666666666667	0.0879389	0.65947247	2.862001	-2.8608494	-0.13981596	0.59417564	2.504182	-2.503908	1.0172526e-09	-0.0023336913	-8.138021e-09	-0.006240332	0.59781903	-0.4490943	140.45377	-28.500801	0	0	1.0	11.027262	0.022335999	60000	194.15769791603088
1	-0.5435504	1.2134497	3.2850797	-2.9244387	30.033333	51.17876	199.0	0.0	1000.0	4440.0	0.037	-0.03278113	0.14581825	0.5885474	-0.7148327	3.8364463	3.5397117	15.738429	-7.23979	1.1189779e-08	0.013217668	3.2552084e-08	0.0011642415	0.1178813	-0.020351335	105.81226	-26.567505	0	0	1.0	11.02535	0.031497	120000	384.15972232818604
2	-0.2864121	1.4800707	3.145271	-2.9777417	25.083334	47.449722	179.0	0.0	1000.0	5945.0	0.03302777777777778	-0.050065108	0.10383005	0.4512184	-0.54990065	3.0573883	2.5651681	12.714609	-7.1782904	1.2207031e-08	-0.04046401	5.6966147e-08	0.0017374817	0.11482998	-0.016737439	75.391785	-10.927849	0	0	16.0	11.025087	0.013004373	180000	580.3731141090393
3	-0.36266956	1.3755589	3.9810197	-2.9184864	32.766666	59.590374	247.0	0.0	1000.0	7911.0	0.0329625	-0.04468185	0.11164753	0.45764837	-0.5831048	2.9493964	1.8731611	12.328635	-4.5457187	2.0345052e-09	-0.040017076	-3.2552084e-08	0.00206167	0.10770651	-0.014181882	99.88895	-22.767014	0	0	16.0	11.000863	0.013430672	240000	773.3756730556488
4	-0.5005638	1.3859886	2.9024236	-3.462859	41.016666	69.10198	249.0	0.0	1000.0	10372.0	0.03457333333333333	-0.022374475	0.08925264	0.39635912	-0.43814018	4.285928	4.904773	22.983147	-10.180311	-7.1207684e-09	-0.038253978	-1.6276042e-08	0.0032173016	0.10104896	-0.012885474	139.79332	-50.519203	0	0	15.0	10.964265	0.013208968	300000	966.5004105567932
5	-0.22586614	1.3522288	2.3225253	-3.241711	28.166666	51.188595	212.0	0.0	1000.0	12062.0	0.03350555555555555	-0.040390793	0.08677646	0.36755157	-0.49320826	4.3662467	5.055096	23.178654	-7.800903	-1.0172526e-08	-0.037769333	1.13932295e-07	0.0011929362	0.10775208	-0.015439883	118.635284	-45.37362	0	0	15.0	10.93681	0.0131827025	360000	1159.3509936332703
6	-0.34449294	1.5858699	5.097285	-4.2064395	46.566666	75.373604	369.0	0.0	1000.0	14856.0	0.035371428571428574	-0.030151244	0.1000379	0.3760192	-0.57490146	3.0642984	2.2284956	14.0402	-8.41968	1.5258789e-09	-0.03602041	-3.2552084e-08	-0.0025770182	0.10820185	-0.02024325	159.75926	-60.696274	0	0	14.0	10.918046	0.013244081	420000	1351.6285729408264
7	-0.6518532	1.572256	2.9643762	-3.9407508	31.783333	55.063328	248.0	0.0	1000.0	16763.0	0.034922916666666665	-0.039628044	0.10877184	0.5478616	-0.7108611	4.8211713	5.4171124	32.886852	-13.060187	2.9500326e-08	-0.037041582	-4.0690104e-08	-0.004507951	0.10114387	-0.025250524	120.2374	-45.246994	0	0	14.0	10.888769	0.013646023	480000	1543.1328988075256
8	-0.0017066797	1.5054097	5.1351185	-3.5095634	46.766666	63.65149	211.0	0.0	1000.0	19569.0	0.03623888888888889	-0.040159967	0.16799316	0.7107073	-0.72733915	2.9039996	2.98574	27.044525	-11.0364485	-1.93278e-08	-0.037284903	5.6966147e-08	0.0069464194	0.117301375	-0.035977423	157.8838	-45.510002	0	0	14.0	10.869622	0.013548561	540000	1733.4453566074371
9	-0.37913436	1.2344741	2.9038873	-3.3624692	27.816668	50.06878	230.0	0.0	1000.0	21238.0	0.03539666666666667	0.025684604	0.15438111	0.6658319	-0.648093	4.7942944	3.23922	28.88808	-7.59818	1.6276042e-08	-0.036881242	0.0	-0.0032716878	0.109098256	-0.03733766	98.66728	-37.63572	0	0	14.0	10.856862	0.01364507	600000	1922.317186832428
10	-0.64035094	1.2861351	3.040484	-3.4808	50.9	99.74479	573.0	0.0	1000.0	24292.0	0.036806060606060606	-0.028252035	0.15988535	0.5734801	-0.66622066	4.4772153	3.9176621	26.115099	-7.089546	1.0172526e-08	-0.037849512	-2.4414062e-08	0.0017256511	0.0995603	-0.03555686	214.6332	-114.332565	0	0	14.0	10.829703	0.013449204	660000	2114.6613309383392
11	-0.32304484	1.3661394	2.98644	-3.3751018	39.933334	78.19225	394.0	0.0	1000.0	26688.0	0.037066666666666664	-0.058259644	0.16493449	0.6007546	-0.9203639	4.257829	6.8135448	51.907963	-11.241413	1.1189779e-08	-0.035289012	3.2552084e-08	0.0050833332	0.11007505	-0.04404109	174.21648	-93.03287	0	0	13.0	10.803482	0.012968147	720000	2304.6437935829163
12	-0.4180317	1.4740142	3.3985076	-3.844639	30.65	64.09936	283.0	0.0	1000.0	28527.0	0.03657307692307692	-0.022975419	0.18526576	0.7439881	-0.8222011	5.1940646	4.628131	32.491337	-16.406355	-1.8310548e-08	-0.036755566	-3.2552084e-08	-0.0038865965	0.09690402	-0.037527364	114.07187	-52.494186	0	0	14.0	10.783079	0.013778039	780000	2493.266746520996
13	-0.13634792	1.5480075	5.5370116	-3.8512194	43.633335	80.86594	332.0	0.0	1000.0	31145.0	0.03707738095238095	-0.014465112	0.18198764	0.6768155	-0.73737025	3.7072177	3.0499601	17.740852	-11.772279	4.0690105e-09	-0.037720747	4.8828124e-08	0.0030605467	0.10699995	-0.04619217	170.60585	-72.793076	0	0	14.0	10.769783	0.013648116	840000	2685.725114583969
14	-0.42699426	1.185819	1.8899233	-3.4523208	39.266666	89.63684	455.0	0.0	1000.0	33501.0	0.03722333333333333	0.005255417	0.17008452	0.59232694	-0.6024045	3.833638	4.4291277	20.94866	-10.865222	-4.0690105e-09	-0.03756203	0.0	-0.0067853355	0.09035754	-0.043860164	167.913	-96.31361	0	0	13.0	10.737032	0.013743447	900000	2874.3956446647644
15	-0.51258963	1.4853218	3.1472538	-5.032183	26.4	57.642056	273.0	0.0	1000.0	35085.0	0.036546875	-0.053519946	0.17063595	0.63720906	-0.6311922	3.8176901	5.1297545	35.978336	-10.583982	8.138021e-09	-0.03742735	5.6966147e-08	0.0009263509	0.09380855	-0.03720491	113.56086	-60.322495	0	0	14.0	10.710577	0.013807009	960000	3066.9218559265137
16	-0.37060317	1.2236621	3.0694604	-2.8764832	38.75	69.21335	286.0	0.0	1000.0	37410.0	0.036676470588235296	-0.047958765	0.19248135	0.5799716	-0.83220774	3.1196032	3.455193	23.485624	-9.825029	-4.0690105e-09	-0.03616764	1.6276042e-08	-0.00685	0.0994857	-0.050273497	130.07301	-56.302765	0	0	13.0	10.687337	0.013207019	1020000	3255.5160207748413
17	-0.23029414	1.2314249	3.5452373	-2.77209	46.1	76.50353	296.0	0.0	1000.0	40176.0	0.0372	-0.044116482	0.1958945	0.60159695	-0.7150626	3.6016414	4.4254327	20.970768	-12.719	-1.780192e-08	-0.035681166	7.324219e-08	-0.005650175	0.09290869	-0.04501678	153.5059	-74.73275	0	0	13.0	10.670618	0.013196417	1080000	3446.882555961609
