Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	StopIter	Entropy	KL	TotalEnvInteracts	Time
0	-0.84336126	1.8489257	2.9065642	-5.0994616	45.966667	75.94383	370.0	0.0	1000.0	2758.0	0.04596666666666667	0.21056245	0.6679819	2.5510502	-2.5389326	-0.03922775	0.6728248	2.4792612	-2.5699997	-8.5194905e-08	-0.054497294	-1.6276041e-07	-0.16125451	0.64476764	-0.5213483	163.38411	-75.68759	1.0	0.032052755	1.0	11.027262	0.08817814	60000	169.01321697235107
1	-1.4215151	1.8333004	3.0192826	-4.839238	47.966667	79.465294	302.0	0.0	1000.0	5636.0	0.046966666666666664	-0.064093225	0.19443369	0.99899346	-0.87480026	4.4060903	5.9261074	29.119669	-9.961108	-1.0653897e-08	-0.044935077	-4.0690104e-08	-0.12027761	0.14021577	-0.042062804	183.61113	-112.1709	1.0320528	0.032758474	1.0	11.025746	0.051364865	120000	337.5811812877655
2	-0.9630117	1.7170414	3.5248148	-3.8165183	35.95	67.63959	355.0	0.0	1000.0	7793.0	0.04329444444444445	-0.12931097	0.16030458	0.55314946	-0.8086	5.990266	9.235342	45.665455	-10.083913	5.3378315e-08	-0.03497243	9.765625e-08	-0.0976741	0.11790293	-0.031387396	157.62703	-111.27453	1.0648112	0.03135419	1.0	11.027014	0.045217324	180000	505.90928387641907
3	-1.1431434	1.7203822	2.4517696	-5.1170506	36.533333	56.13955	222.0	0.0	1000.0	9985.0	0.041604166666666664	-0.08641319	0.16215707	0.55748314	-0.7164663	3.3905056	6.020962	42.27971	-24.217012	1.0937828e-08	-0.032985806	1.6276042e-08	-0.10898903	0.12604488	-0.050326973	105.49402	-65.92681	1.0961654	0.03123641	2.0	11.027612	0.07282837	240000	674.2558126449585
4	-0.9220389	1.3718814	3.222195	-3.7057285	32.183334	55.525513	225.0	0.0	1000.0	11916.0	0.03972	-0.108503856	0.17191172	0.66020405	-0.8029415	4.6719375	7.0650077	47.692757	-14.998323	5.0795915e-08	-0.02901325	9.765625e-08	-0.084960476	0.12023879	-0.053171583	100.13319	-73.64492	1.1274018	0.030061126	2.0	11.027925	0.051715735	300000	842.2155346870422
5	-0.7296165	1.7014881	3.5304315	-3.8004766	35.05	59.394	246.0	0.0	1000.0	14019.0	0.038941666666666666	-0.124666326	0.16901629	0.81091696	-0.80084795	3.2432923	6.2007527	51.694347	-10.576314	2.9269856e-08	-0.031037118	6.510417e-08	-0.091292545	0.119546436	-0.055665657	116.67904	-85.69568	1.157463	0.030237436	2.0	11.028222	0.060041115	360000	1010.005339384079
6	-0.71375823	1.6847266	3.804954	-4.661972	31.016666	61.15213	310.0	0.0	1000.0	15880.0	0.03780952380952381	-0.06653436	0.24175414	0.8442106	-1.3441446	2.4196272	5.498534	43.95644	-11.071887	1.348612e-08	-0.023852374	1.6276042e-08	-0.06702676	0.11979661	-0.07147358	124.858376	-91.054794	1.1877004	0.029291987	2.0	11.027041	0.043824226	420000	1177.2035570144653
7	-0.84190995	1.5683079	2.367594	-5.0017195	40.066666	86.16319	388.0	0.0	1000.0	18284.0	0.03809166666666667	-0.058838937	0.23231478	0.8984549	-1.2085075	3.190175	6.101827	44.22561	-11.482399	-2.0899252e-08	-0.042773865	-4.4759116e-08	-0.10569507	0.116377756	-0.069592685	176.98885	-147.57289	1.2169924	0.030876517	2.0	11.026107	0.050245162	480000	1344.9444983005524
8	-0.69753957	1.6468475	4.0606785	-4.5110006	39.883335	74.91842	366.0	0.0	1000.0	20677.0	0.03829074074074074	-0.058366828	0.23206435	0.95916873	-0.7583598	3.6119745	7.639744	45.17782	-20.918375	-4.336677e-08	-0.03235803	-8.138021e-08	-0.08939624	0.100363836	-0.06256225	158.35706	-125.1411	1.2478689	0.032182217	2.0	11.026469	0.055259448	540000	1512.5758135318756
9	-0.5384054	1.9147232	4.5956364	-4.5955396	39.383335	68.00762	267.0	0.0	1000.0	23040.0	0.0384	-0.114562586	0.24588093	0.8590306	-0.8456426	2.8080142	7.736659	42.028355	-19.41014	-1.3706379e-08	-0.031641465	-2.4414062e-08	-0.081051424	0.1363717	-0.093088284	161.0195	-123.24023	1.2800511	0.03322196	2.0	11.026507	0.045234952	600000	1680.173556804657
10	-0.7739062	1.7298166	4.2136307	-4.2803173	30.783333	59.683914	244.0	0.0	1000.0	24887.0	0.03770757575757576	-0.00332612	0.23554042	0.9279608	-0.9295348	2.9228551	5.152791	30.689981	-10.129114	1.6938381e-08	-0.027391352	2.4414062e-08	-0.076331414	0.1221654	-0.08314341	101.06142	-76.28676	1.3132731	0.032171845	2.0	11.026201	0.05318505	660000	1846.9989421367645
11	-0.38655084	1.6331787	4.17445	-4.474768	37.55	61.73044	253.0	0.0	1000.0	27140.0	0.03769444444444445	-0.089641415	0.24845831	0.8303358	-1.0819651	2.83826	6.091952	34.248493	-13.684492	-1.1607734e-08	-0.03511531	-8.138021e-09	-0.0881357	0.11370226	-0.0795213	123.56213	-95.651146	1.3454449	0.033008337	2.0	11.025481	0.054707546	720000	2013.545865535736
12	-0.7914155	1.5072733	2.720538	-3.8474452	34.35	62.66706	296.0	0.0	1000.0	29201.0	0.037437179487179485	-0.0041877474	0.23825757	0.82255155	-0.85553634	3.4421546	5.4908824	25.414923	-11.9548855	-3.0449055e-08	-0.024043983	-5.6966147e-08	-0.0701278	0.09834331	-0.065761134	106.00666	-79.41368	1.3784533	0.033073306	2.0	11.024128	0.055871066	780000	2181.5002706050873
13	-0.690265	1.3282506	2.7936687	-3.7344162	40.416668	85.662575	507.0	0.0	1000.0	31626.0	0.03765	-0.09035704	0.24691385	0.8656852	-0.9940372	3.5476868	6.1833315	32.36634	-12.360143	8.138021e-09	-0.031831242	8.138021e-09	-0.07899951	0.11309164	-0.07768613	143.63734	-123.189606	1.4115266	0.034418583	2.0	11.023048	0.054566655	840000	2348.7655458450317
14	-0.7213208	1.6497858	4.0808077	-5.4305973	30.5	66.91574	315.0	0.0	1000.0	33456.0	0.037173333333333336	-0.012819947	0.27021706	1.0468158	-0.94112414	4.752723	8.566538	51.22861	-17.00944	1.6635738e-09	-0.036495395	0.0	-0.084552646	0.13771386	-0.102400914	117.165634	-96.05542	1.4459451	0.033345222	2.0	11.021851	0.049027953	900000	2516.1861684322357
15	-0.55982685	1.9183292	4.720594	-5.2757564	49.483334	79.725464	371.0	0.0	1000.0	36425.0	0.03794270833333333	0.0007905655	0.24837205	0.8570789	-0.97847915	2.9058554	6.069525	43.201828	-20.863338	-2.5851328e-08	-0.044760622	-4.8828124e-08	-0.10300411	0.13338698	-0.09867199	165.54391	-132.07791	1.4792904	0.03581786	2.0	11.020193	0.062178563	960000	2683.7389602661133
16	-0.6872023	1.6739447	4.335857	-5.6316304	52.05	97.07943	607.0	0.0	1000.0	39548.0	0.038772549019607846	-0.015612154	0.34836024	1.1694783	-1.1225262	5.0944557	7.2718415	37.317257	-20.299435	1.8089409e-08	-0.053255387	4.8828124e-08	-0.118569456	0.16529584	-0.13317348	182.21933	-145.58627	1.5151082	0.038057804	2.0	11.01901	0.066628	1020000	2850.3403027057648
17	-1.0007398	1.5541198	2.1777534	-4.586828	47.35	77.204025	383.0	0.0	1000.0	42389.0	0.039249074074074075	-0.0015317892	0.2606118	0.9459602	-0.9278224	5.3684354	8.426068	46.196205	-16.766	1.9005535e-08	-0.046731737	3.2552084e-08	-0.10802151	0.13737449	-0.10277771	153.78195	-127.42971	1.553166	0.039597154	2.0	11.017365	0.06962971	1080000	3018.20601606369
18	-0.4817967	1.4216508	2.8909702	-3.650332	44.466667	75.933624	412.0	0.0	1000.0	45057.0	0.039523684210526315	-0.09150289	0.22932951	0.9774681	-0.92708015	4.8321924	7.444747	43.122345	-15.938516	-4.567699e-08	-0.04982326	-8.138021e-08	-0.11639671	0.100597784	-0.07353073	141.7326	-121.68317	1.5927632	0.040615797	2.0	11.016149	0.08333492	1140000	3185.697969198227
19	-0.77838534	1.5859996	3.3861825	-5.644742	29.266666	58.08926	238.0	0.0	1000.0	46813.0	0.039010833333333335	-0.0021662663	0.248367	0.8103892	-1.0090245	4.05411	7.246811	52.49012	-15.57738	4.5737792e-08	-0.035362136	4.8828124e-08	-0.08587885	0.13737926	-0.10815114	122.77042	-105.06124	1.633379	0.038530827	2.0	11.015933	0.07210602	1200000	3352.781656742096
20	-0.55067784	1.7042934	2.8584645	-5.593738	33.566666	52.72266	217.0	0.0	1000.0	48827.0	0.0387515873015873	-0.050407443	0.26414284	0.9186171	-0.856754	3.0477855	7.226889	41.286884	-18.570448	-9.660906e-09	-0.035340343	-8.138021e-09	-0.08528997	0.11465013	-0.086197644	116.29825	-99.93573	1.6719098	0.03769505	2.0	11.016438	0.070483364	1260000	3520.9501197338104
21	-0.07020561	1.8521343	4.792916	-4.1914845	43.05	70.68391	349.0	0.0	1000.0	51410.0	0.038946969696969695	-0.017359985	0.25440174	0.8119599	-0.8469962	4.617368	6.6254954	33.914986	-16.351025	4.7967415e-08	-0.055010974	8.138021e-08	-0.11398133	0.15307093	-0.11954585	178.78401	-151.93732	1.7096049	0.038882732	2.0	11.016744	0.06886571	1320000	3689.5068814754486
22	-0.7454163	1.3734621	2.115323	-4.1417694	33.9	75.4592	363.0	0.0	1000.0	53444.0	0.03872753623188406	0.0063612377	0.26766175	0.9970649	-1.0820438	2.8036766	5.691827	30.423035	-18.850063	1.8492246e-08	-0.036098965	2.4414062e-08	-0.0846166	0.11644541	-0.09196989	138.31677	-121.566315	1.7484876	0.03812337	2.0	11.01662	0.06941794	1380000	3856.992509365082
23	-0.675221	1.3228791	2.6077828	-3.42039	31.55	54.479485	217.0	0.0	1000.0	55337.0	0.038428472222222225	-0.023987824	0.30190557	1.024851	-1.1470791	4.078507	7.2049723	39.163036	-13.550353	-6.023861e-08	-0.034759294	-9.765625e-08	-0.07737719	0.13109715	-0.10516552	96.54677	-82.42113	1.786611	0.036851764	2.0	11.015102	0.058577657	1440000	4024.9669506549835
24	-0.7856592	1.6324949	2.7327812	-5.5412955	43.55	75.04164	361.0	0.0	1000.0	57950.0	0.03863333333333333	-0.05033131	0.25176144	1.0194554	-0.87163943	2.169878	7.2905183	35.243633	-33.466667	5.111623e-08	-0.057683263	8.138021e-08	-0.1195536	0.1289242	-0.105899654	198.628	-175.38597	1.8234627	0.038375854	2.0	11.013151	0.08132796	1500000	4192.785053730011
25	-0.21518086	1.761444	3.675235	-5.28259	33.516666	60.366238	261.0	0.0	1000.0	59961.0	0.03843653846153846	0.023170391	0.28431112	0.92112213	-1.1659096	5.1306286	7.539707	46.358128	-13.699189	3.9511463e-08	-0.040557455	6.510417e-08	-0.09083293	0.16300376	-0.13202192	125.294136	-108.266075	1.8618386	0.037620664	2.0	11.01137	0.0792741	1560000	4360.657626628876
26	-0.55327094	1.6697016	4.4257607	-3.8200712	37.216667	76.16607	365.0	0.0	1000.0	62194.0	0.03839135802469136	-0.038731847	0.31724685	0.8879027	-1.1343527	3.1635656	6.3848696	35.69249	-14.516365	5.3877216e-08	-0.05019751	6.510417e-08	-0.10573125	0.17191538	-0.14648888	153.3678	-126.39756	1.8994592	0.037845016	2.0	11.009954	0.08477972	1620000	4527.601417541504
27	-0.7768211	1.4288542	2.8184307	-5.161564	31.483334	60.185127	269.0	0.0	1000.0	64083.0	0.038144642857142856	-0.06611454	0.29152253	0.72788787	-1.0947956	3.0757337	7.0457854	46.225197	-21.934423	-5.7656624e-08	-0.042041626	-8.951823e-08	-0.09029063	0.13831872	-0.111718066	137.76358	-117.04466	1.9373043	0.036627293	2.0	11.008141	0.07463415	1680000	4695.340458393097
28	-0.6312098	2.015787	3.6759624	-10.075516	42.7	75.33531	302.0	0.0	996.76666	66645.0	0.03830172413793104	-0.09677562	0.2639026	0.79646635	-1.1807007	3.8617058	6.0932603	34.562122	-13.929546	4.104678e-09	-0.05030936	0.0	-0.09470492	0.21075402	-0.14793627	149.11383	-125.427124	1.9739316	0.038202524	2.0	11.006076	0.074833125	1740000	4862.910880565643
29	-0.7789733	1.757065	3.84771	-10.404515	21.516666	36.054817	136.0	0.0	990.9167	67936.0	0.037742222222222226	-0.03087277	0.34599787	0.95261586	-1.4905093	3.8669198	7.658168	37.875755	-19.55996	-3.9388404e-08	-0.04089087	-5.2897136e-08	-0.08262366	0.2171033	-0.18511374	101.05943	-90.23811	2.012134	0.033897877	2.0	11.004172	0.08091181	1800000	5029.87405872345
30	-0.54263264	1.8252251	3.8075066	-10.312732	43.933334	87.41774	459.0	0.0	993.1	70572.0	0.03794193548387097	-0.124435626	0.36304688	0.92633885	-1.7291125	2.7981565	5.6963177	40.799725	-26.68715	5.6333214e-08	-0.062293857	8.138021e-08	-0.11721459	0.26465115	-0.21250163	193.58751	-159.71535	2.046032	0.03609872	2.0	11.003136	0.09233594	1860000	5197.154809713364
