Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	-0.84336126	1.8489257	2.9065642	-5.0994616	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	0.21056245	0.6679819	2.5510502	-2.5389326	-0.03922775	0.6728248	2.4792612	-2.5699997	-7.629395e-09	-0.046579897	-8.9009605e-10	-0.0037941257	0.64476764	-0.5213483	0.4445946	-0.41329333	0	0	0.4325309	0.0	11.027262	0.008957332	60000	170.18113255500793
1	-0.9397171	1.6017789	2.576968	-4.336775	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	-0.07946554	0.17984313	0.76888955	-0.8182481	0.01885433	0.129398	0.67753935	-0.58835036	-4.0690105e-09	-0.044316754	1.5894572e-10	8.649842e-05	0.13210188	-0.039434172	0.017491447	-0.009107293	0	0	0.4525255	0.0	11.023127	0.008914298	120000	337.5613980293274
2	-0.5769548	1.9110433	5.482812	-4.597863	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	-0.094885275	0.1713801	0.69532925	-0.84324986	-0.002383052	0.09310757	0.4726769	-0.474166	2.0345052e-08	-0.044954646	1.4623006e-09	-3.0415313e-05	0.15018514	-0.051122278	0.009100343	-0.0034409347	0	0	0.45039132	0.0	11.0186405	0.008866262	180000	504.8324570655823
3	-0.7842181	1.6010454	2.2883818	-4.484806	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	-0.046324257	0.16728246	0.667994	-0.63949704	0.001324593	0.077981584	0.36938798	-0.4056092	-1.6276042e-08	-0.04486686	2.0662944e-10	1.2535556e-05	0.13018027	-0.046617515	0.006469838	-0.0021114093	0	0	0.44837582	0.0	11.013393	0.008940902	240000	672.6772274971008
4	-0.6379114	1.4303122	3.4498036	-3.3761137	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	-0.06187426	0.14763212	0.5544251	-0.8383221	-0.00058720924	0.06657496	0.38570276	-0.34324205	-4.1707356e-08	-0.04489621	3.973643e-10	3.893291e-05	0.10534825	-0.040764123	0.00462567	-0.0014236118	0	0	0.44848603	0.0	11.015097	0.008863076	300000	841.0647201538086
5	-0.84557277	1.8206952	4.7469974	-4.1238604	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	-0.07691319	0.16151297	0.6504233	-0.7147698	0.00057331246	0.058295134	0.29029763	-0.36330104	-1.0172526e-08	-0.04473191	7.4704487e-10	2.2734053e-05	0.11209644	-0.0554251	0.0035201544	-0.0010216781	0	0	0.452213	0.0	11.009798	0.008935742	360000	1009.893622636795
6	-0.7384983	1.6110259	3.3375125	-4.9488378	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	-0.041289657	0.23305619	0.86305034	-0.9112185	0.0015804893	0.051855892	0.34232253	-0.29668978	2.4414062e-08	-0.044417497	1.8676122e-10	3.883875e-05	0.13845472	-0.08480716	0.002894809	-0.000788599	0	0	0.45996884	0.0	11.004332	0.00900639	420000	1178.342957496643
7	-0.90760845	1.4925847	2.7184358	-4.7997403	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	-0.03064164	0.22636414	0.8539061	-0.9510181	-2.535367e-06	0.04898959	0.29579782	-0.31351903	-1.93278e-08	-0.044118717	2.304713e-10	4.5771783e-05	0.10502653	-0.05845261	0.0025223664	-0.0006969074	0	0	0.45525497	0.0	11.002889	0.008977613	480000	1346.6571085453033
8	-0.67138153	1.8123558	5.5477586	-3.6159024	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	-0.079455435	0.21414356	0.93810064	-0.74949735	-0.00022502939	0.042658377	0.24854495	-0.2585281	-2.0345052e-09	-0.044443484	-2.1060308e-10	-5.4090797e-05	0.10375633	-0.0645055	0.0019098041	-0.0004969712	0	0	0.45523462	0.0	11.009634	0.008942894	540000	1513.6458387374878
9	-1.0672204	1.6266173	2.9548402	-5.037785	0.0	0.0	0.0	0.0	1000.0	0.0	0.0	-0.036089107	0.21682002	1.0060784	-0.8364384	0.00036398697	0.03903973	0.26415297	-0.23107077	-2.4414062e-08	-0.045700844	1.2715658e-10	2.2953263e-05	0.11028862	-0.069405556	0.0016092499	-0.00040835014	0	0	0.44706348	0.0	11.001217	0.008931469	600000	1680.8764672279358
