Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	EpLen	CumulativeCost	CostRate	AverageVVals	StdVVals	MaxVVals	MinVVals	AverageCostVVals	StdCostVVals	MaxCostVVals	MinCostVVals	LossPi	DeltaLossPi	SurrCost	DeltaSurrCost	LossV	DeltaLossV	LossVC	DeltaLossVC	Penalty	DeltaPenalty	Alpha	BacktrackIters	Entropy	KL	TotalEnvInteracts	Time
0	0.572741	1.2976806	3.0498507	-1.446386	188.83333	123.94007	457.0	0.0	1000.0	5665.0	0.18883333333333333	0.5247387	0.53493243	1.9871573	-1.2191261	-0.3726068	0.11755944	0.14652914	-0.7553853	2.7974447e-09	-0.009177845	1.3020833e-07	-0.004386247	0.6764788	-0.581055	610.59235	-314.16653	0	0	2.133184	0.0	1.837877	0.0073188427	30000	109.23164296150208
1	0.5881668	1.7493302	5.1356845	-2.4500723	182.73334	119.24482	495.0	0.0	1000.0	11147.0	0.18578333333333333	0.087724626	0.28090987	1.0433298	-0.9033877	16.621237	1.0479475	18.3791	9.476196	2.4414062e-08	-0.009238265	-1.13932295e-07	-0.004269413	0.12504147	-0.02968169	284.75647	-121.286026	0	0	2.0802042	0.0	1.8260735	0.0083256075	60000	215.96126198768616
2	1.3577609	2.1703506	7.4668665	-2.3431902	245.66667	97.98718	436.0	34.0	1000.0	18517.0	0.20574444444444445	0.1127093	0.4472934	1.3802617	-1.1000022	24.077766	9.166465	35.39437	-1.0529013	2.5431315e-09	-0.0095317885	-8.138021e-08	0.0047150394	0.10378163	-0.01942391	213.1137	-42.49684	0	0	2.1629906	0.0	1.8239262	0.0095035685	90000	322.93430948257446
3	2.1730707	1.7800795	5.2030106	-0.93129367	317.73334	125.55077	536.0	49.0	1000.0	28049.0	0.23374166666666665	0.20041208	0.438712	1.7038991	-0.8016894	26.45385	8.921653	42.84226	1.4796273	4.0690105e-09	-0.011140286	0.0	0.0055051595	0.104957536	-0.013052076	308.6583	-80.98573	0	0	1.8201544	0.0	1.7991078	0.008636145	120000	430.68989276885986
4	2.243637	2.4877863	8.946476	-1.5174239	289.76666	97.9366	507.0	118.0	1000.0	36742.0	0.24494666666666667	0.22117761	0.3946018	1.6754493	-0.73751163	32.799732	11.204212	55.462154	-1.5338193	2.0345052e-09	-0.013621637	-6.9173176e-08	-0.015984274	0.09877743	-0.011913359	196.12784	-29.651337	0	0	1.5908319	0.0	1.7617921	0.008947844	150000	537.8821492195129
5	4.390309	3.314688	11.9566765	-1.1856248	294.1	95.02819	523.0	117.0	1000.0	45565.0	0.2531388888888889	0.36847144	0.5311561	1.9372406	-0.9248518	30.611713	11.288811	58.90993	2.0499628	-1.8310548e-08	-0.010029454	3.2552084e-08	0.0023834107	0.16847496	-0.033151194	186.76643	-18.441177	0	0	2.0700426	0.0	1.7822886	0.00950941	180000	645.2224462032318
6	4.51214	2.9334297	12.162947	-0.8181701	236.0	72.23341	376.0	99.0	1000.0	52645.0	0.2506904761904762	0.48212156	0.51267606	1.8351538	-0.86080563	27.590929	11.474942	59.748325	-1.2259651	1.0172526e-08	-0.010117454	3.2552084e-08	-0.0051635415	0.21325596	-0.06114818	159.98738	-25.935333	0	0	2.0104096	0.0	1.7306558	0.009117437	210000	752.128591299057
7	5.1429076	3.0125759	11.448766	-1.5960962	239.73334	106.164	559.0	80.0	1000.0	59837.0	0.24932083333333332	0.51185155	0.39918244	1.9428419	-0.7978933	25.739658	10.954785	58.92785	-3.8694909	1.0172526e-08	-0.009067946	-6.510417e-08	-0.0061639	0.218411	-0.040559694	172.65627	-33.27748	0	0	2.211598	0.0	1.7120497	0.009483878	240000	859.2831783294678
8	6.581254	2.729	13.167276	1.8643736	248.13333	93.22257	415.0	62.0	1000.0	67281.0	0.24918888888888888	0.602278	0.5153191	2.295332	-1.0670176	25.837242	12.875377	64.86907	-0.84077257	2.0345052e-09	-0.0094208885	1.6276042e-08	-0.0085152015	0.21050644	-0.056756735	171.88481	-25.294708	0	0	2.1223867	0.0	1.7041147	0.009023397	270000	966.3602619171143
9	6.4720454	3.3281703	16.434206	2.1271236	254.66667	77.12947	465.0	42.0	1000.0	74921.0	0.24973666666666666	0.6106321	0.48668858	2.125464	-0.73055756	25.91516	12.687677	61.258743	-0.9596214	-2.5431315e-09	-0.010139351	4.8828124e-08	-0.009666617	0.15491135	-0.040897712	162.7333	-24.236816	0	0	2.0483606	0.0	1.6876721	0.009378964	300000	1073.6223711967468
10	8.029511	3.915045	17.595968	2.1334143	232.33333	72.962234	373.0	97.0	1000.0	81891.0	0.24815454545454546	0.7159425	0.52998894	1.9497315	-0.5327554	25.88871	11.118232	63.40659	-3.5011916	-2.0345052e-09	-0.011162568	1.6276042e-08	0.013916211	0.19358435	-0.050721258	148.50963	-20.056839	0	0	1.800343	0.0	1.6857718	0.009245308	330000	1180.559966802597
